saptamana,zona,produs,pret_lei,variatie_procente
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),FOB CONSTANTA,GRAU PT PANIFICATIE (lei/tona),1091,-3.02
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),FOB CONSTANTA,GRAU FURAJER (lei/tona),-,0
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),FOB CONSTANTA,PORUMB (lei/tona),1047,-1.23
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),FOB CONSTANTA,ORZ (lei/tona),1077,1.8
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),VEST,ORZ FURAJER (lei/tona),1015,0.69
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),VEST,FLOAREA SOARELUI (lei/tona),2495,-5.02
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),VEST,RAPITA (lei/tona),2439,31.98
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),VEST,MERE (lei/tona),-,0
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),EST,ORZ FURAJER (lei/tona),1040,4
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),EST,FLOAREA SOARELUI (lei/tona),2463,-9.98
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),EST,RAPITA (lei/tona),2218,4.62
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),EST,MERE (lei/tona),-,0
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),SUD,ORZ FURAJER (lei/tona),1040,-0.95
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),SUD,FLOAREA SOARELUI (lei/tona),2378,-10.64
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),SUD,RAPITA (lei/tona),2458,-0.08
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),SUD,MERE (lei/tona),-,0
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),FOB CONSTANTA,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),FOB CONSTANTA,FLOAREA SOARELUI (lei/tona),-,0
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),FOB CONSTANTA,RAPITA (lei/tona),-,0
SAPTAMANA 15/2025 (Saptamana 10 - 16 aprilie 2025),FOB CONSTANTA,MERE (lei/tona),-,0
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),VEST,GRAU PT PANIFICATIE (lei/tona),1062,-1.39
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),VEST,GRAU FURAJER (lei/tona),1007,-7.19
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),VEST,PORUMB (lei/tona),978,1.77
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),VEST,ORZ (lei/tona),-,0
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),EST,GRAU PT PANIFICATIE (lei/tona),1083,-1.55
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),EST,GRAU FURAJER (lei/tona),1034,0.29
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),EST,PORUMB (lei/tona),1017,-0.59
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),EST,ORZ (lei/tona),-,0
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),SUD,GRAU PT PANIFICATIE (lei/tona),1079,0.09
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),SUD,GRAU FURAJER (lei/tona),1050,2.04
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),SUD,PORUMB (lei/tona),1032,2.99
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),SUD,ORZ (lei/tona),-,0
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),FOB CONSTANTA,GRAU PT PANIFICATIE (lei/tona),1125,-2.93
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),FOB CONSTANTA,GRAU FURAJER (lei/tona),-,0
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),FOB CONSTANTA,PORUMB (lei/tona),1060,-1.49
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),FOB CONSTANTA,ORZ (lei/tona),-,0
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),VEST,ORZ FURAJER (lei/tona),1008,-3.91
SAPTAMANA 14/2025 (Saptamana 03 - 09 aprilie 2025),VEST,FLOAREA SOARELUI (lei/tona),2627,2.74
