saptamana,zona,produs,pret_lei,variatie_procente
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),SUD,PORUMB (lei/tona),966,2.01
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),SUD,ORZ (lei/tona),-,0
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),FOB CONSTANTA,GRAU PT PANIFICATIE (lei/tona),-,0
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),FOB CONSTANTA,GRAU FURAJER (lei/tona),-,0
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),FOB CONSTANTA,PORUMB (lei/tona),-,0
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),FOB CONSTANTA,ORZ (lei/tona),1081,13.67
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),VEST,ORZ FURAJER (lei/tona),950,8.7
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),VEST,FLOAREA SOARELUI (lei/tona),2824,3.9
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),VEST,RAPITA (lei/tona),-,0
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),VEST,MERE (lei/tona),-,0
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),EST,ORZ FURAJER (lei/tona),982,4.91
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),EST,FLOAREA SOARELUI (lei/tona),2739,3.05
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),EST,RAPITA (lei/tona),-,0
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),EST,MERE (lei/tona),-,0
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),SUD,ORZ FURAJER (lei/tona),875,2.94
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),SUD,FLOAREA SOARELUI (lei/tona),2688,-0.52
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),SUD,RAPITA (lei/tona),2445,6.82
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),SUD,MERE (lei/tona),-,0
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),FOB CONSTANTA,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),FOB CONSTANTA,FLOAREA SOARELUI (lei/tona),-,0
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),FOB CONSTANTA,RAPITA (lei/tona),-,0
SAPTAMANA 04/2025 (Saptamana 23 - 29 ianuarie 2025),FOB CONSTANTA,MERE (lei/tona),-,0
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),VEST,GRAU PT PANIFICATIE (lei/tona),980,4.7
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),VEST,GRAU FURAJER (lei/tona),994,4.74
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),VEST,PORUMB (lei/tona),911,9.5
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),VEST,ORZ (lei/tona),-,0
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),EST,GRAU PT PANIFICATIE (lei/tona),1073,4.28
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),EST,GRAU FURAJER (lei/tona),990,5.1
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),EST,PORUMB (lei/tona),943,-0.42
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),EST,ORZ (lei/tona),-,0
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),SUD,GRAU PT PANIFICATIE (lei/tona),925,-0.96
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),SUD,GRAU FURAJER (lei/tona),903,-4.75
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),SUD,PORUMB (lei/tona),947,0.42
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),SUD,ORZ (lei/tona),-,0
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),FOB CONSTANTA,GRAU PT PANIFICATIE (lei/tona),-,0
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),FOB CONSTANTA,GRAU FURAJER (lei/tona),-,0
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),FOB CONSTANTA,PORUMB (lei/tona),1087,1.87
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),FOB CONSTANTA,ORZ (lei/tona),-,0
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),VEST,ORZ FURAJER (lei/tona),874,-2.89
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),VEST,FLOAREA SOARELUI (lei/tona),2718,0.97
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),VEST,RAPITA (lei/tona),2500,-5.2
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),VEST,MERE (lei/tona),-,0
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),EST,ORZ FURAJER (lei/tona),936,1.08
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),EST,FLOAREA SOARELUI (lei/tona),2658,-1.74
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),EST,RAPITA (lei/tona),-,0
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),EST,MERE (lei/tona),-,0
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),SUD,ORZ FURAJER (lei/tona),850,-1.28
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),SUD,FLOAREA SOARELUI (lei/tona),2702,42.21
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),SUD,RAPITA (lei/tona),2289,14.16
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),SUD,MERE (lei/tona),-,0
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),FOB CONSTANTA,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),FOB CONSTANTA,FLOAREA SOARELUI (lei/tona),-,0
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),FOB CONSTANTA,RAPITA (lei/tona),-,0
SAPTAMANA 03/2025 (Saptamana 16 - 22 ianuarie 2025),FOB CONSTANTA,MERE (lei/tona),-,0
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),VEST,GRAU PT PANIFICATIE (lei/tona),936,-4
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),VEST,GRAU FURAJER (lei/tona),949,0
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),VEST,PORUMB (lei/tona),832,-8.27
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),VEST,ORZ (lei/tona),-,0
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),EST,GRAU PT PANIFICATIE (lei/tona),1029,-2
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),EST,GRAU FURAJER (lei/tona),942,0
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),EST,PORUMB (lei/tona),947,1.94
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),EST,ORZ (lei/tona),-,0
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),SUD,GRAU PT PANIFICATIE (lei/tona),934,-0.11
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),SUD,GRAU FURAJER (lei/tona),948,6.52
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),SUD,PORUMB (lei/tona),943,3.85
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),SUD,ORZ (lei/tona),-,0
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),FOB CONSTANTA,GRAU PT PANIFICATIE (lei/tona),1125,-0.88
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),FOB CONSTANTA,GRAU FURAJER (lei/tona),-,0
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),FOB CONSTANTA,PORUMB (lei/tona),-,0
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),FOB CONSTANTA,ORZ (lei/tona),-,0
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),VEST,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),VEST,FLOAREA SOARELUI (lei/tona),-,0
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),VEST,RAPITA (lei/tona),-,0
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),VEST,MERE (lei/tona),-,0
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),EST,ORZ FURAJER (lei/tona),926,-9.66
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),EST,FLOAREA SOARELUI (lei/tona),2705,0
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),EST,RAPITA (lei/tona),2659,0
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),EST,MERE (lei/tona),-,0
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),SUD,ORZ FURAJER (lei/tona),861,0
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),SUD,FLOAREA SOARELUI (lei/tona),1900,0
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),SUD,RAPITA (lei/tona),2005,0
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),SUD,MERE (lei/tona),-,0
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),FOB CONSTANTA,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),FOB CONSTANTA,FLOAREA SOARELUI (lei/tona),-,0
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),FOB CONSTANTA,RAPITA (lei/tona),-,0
SAPTAMANA 02/2025 (Saptamana 09 - 15 ianuarie 2025),FOB CONSTANTA,MERE (lei/tona),-,0
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),VEST,GRAU PT PANIFICATIE (lei/tona),975,-0.51
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),VEST,GRAU FURAJER (lei/tona),-,0
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),VEST,PORUMB (lei/tona),907,4.49
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),VEST,ORZ (lei/tona),-,0
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),EST,GRAU PT PANIFICATIE (lei/tona),1050,-2.78
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),EST,GRAU FURAJER (lei/tona),-,0
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),EST,PORUMB (lei/tona),929,5.93
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),EST,ORZ (lei/tona),-,0
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),SUD,GRAU PT PANIFICATIE (lei/tona),935,-1.79
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),SUD,GRAU FURAJER (lei/tona),890,-11
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),SUD,PORUMB (lei/tona),908,-2.16
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),SUD,ORZ (lei/tona),-,0
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),FOB CONSTANTA,GRAU PT PANIFICATIE (lei/tona),1135,-3.07
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),FOB CONSTANTA,GRAU FURAJER (lei/tona),-,0
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),FOB CONSTANTA,PORUMB (lei/tona),-,0
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),FOB CONSTANTA,ORZ (lei/tona),-,0
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),VEST,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),VEST,FLOAREA SOARELUI (lei/tona),-,0
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),VEST,RAPITA (lei/tona),-,0
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),VEST,MERE (lei/tona),-,0
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),EST,ORZ FURAJER (lei/tona),1025,17.82
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),EST,FLOAREA SOARELUI (lei/tona),-,0
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),EST,RAPITA (lei/tona),-,0
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),EST,MERE (lei/tona),-,0
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),SUD,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),SUD,FLOAREA SOARELUI (lei/tona),-,0
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),SUD,RAPITA (lei/tona),-,0
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),SUD,MERE (lei/tona),-,0
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),FOB CONSTANTA,ORZ FURAJER (lei/tona),-,0
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),FOB CONSTANTA,FLOAREA SOARELUI (lei/tona),-,0
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),FOB CONSTANTA,RAPITA (lei/tona),-,0
SAPTAMANA 01/2025 (Saptamana 02 - 08 ianuarie 2025),FOB CONSTANTA,MERE (lei/tona),-,0
